source,relation_type,target,status
concept:lie,antonym_surface:de,Ehrlichkeit,surface_seed
concept:lie,antonym_surface:fr,vérité,surface_seed
concept:lie,antonym_surface:fr,honnêteté,surface_seed
concept:lie,antonym_surface:es,verdad,surface_seed
concept:lie,antonym_surface:es,honestidad,surface_seed
concept:good,antonym_surface:pl,zło,surface_seed
concept:good,antonym_surface:pl,krzywda,surface_seed
concept:good,antonym_surface:en,evil,surface_seed
concept:good,antonym_surface:en,harm,surface_seed
concept:good,antonym_surface:de,Böse,surface_seed
concept:good,antonym_surface:de,Schaden,surface_seed
concept:good,antonym_surface:fr,mal,surface_seed
concept:good,antonym_surface:fr,dommage,surface_seed
concept:good,antonym_surface:es,mal,surface_seed
concept:good,antonym_surface:es,daño,surface_seed
concept:harm,antonym_surface:pl,dobro,surface_seed
concept:harm,antonym_surface:pl,opieka,surface_seed
concept:harm,antonym_surface:en,good,surface_seed
concept:harm,antonym_surface:en,care,surface_seed
concept:harm,antonym_surface:de,Gut,surface_seed
concept:harm,antonym_surface:de,Fürsorge,surface_seed
concept:harm,antonym_surface:fr,bien,surface_seed
concept:harm,antonym_surface:fr,soin,surface_seed
concept:harm,antonym_surface:es,bien,surface_seed
concept:harm,antonym_surface:es,cuidado,surface_seed
concept:order,antonym_surface:pl,chaos,surface_seed
concept:order,antonym_surface:pl,nieład,surface_seed
concept:order,antonym_surface:en,chaos,surface_seed
concept:order,antonym_surface:en,disorder,surface_seed
concept:order,antonym_surface:de,Chaos,surface_seed
concept:order,antonym_surface:de,Unordnung,surface_seed
concept:order,antonym_surface:fr,chaos,surface_seed
concept:order,antonym_surface:fr,désordre,surface_seed
concept:order,antonym_surface:es,caos,surface_seed
concept:order,antonym_surface:es,desorden,surface_seed
concept:chaos,antonym_surface:pl,porządek,surface_seed
concept:chaos,antonym_surface:pl,ład,surface_seed
concept:chaos,antonym_surface:en,order,surface_seed
concept:chaos,antonym_surface:en,structure,surface_seed
concept:chaos,antonym_surface:de,Ordnung,surface_seed
concept:chaos,antonym_surface:de,Struktur,surface_seed
concept:chaos,antonym_surface:fr,ordre,surface_seed
concept:chaos,antonym_surface:fr,structure,surface_seed
concept:chaos,antonym_surface:es,orden,surface_seed
concept:chaos,antonym_surface:es,estructura,surface_seed
concept:center,antonym_surface:pl,brzeg,surface_seed
concept:center,antonym_surface:pl,peryferia,surface_seed
concept:center,antonym_surface:en,edge,surface_seed
concept:center,antonym_surface:en,periphery,surface_seed
concept:center,antonym_surface:de,Rand,surface_seed
concept:center,antonym_surface:de,Peripherie,surface_seed
concept:center,antonym_surface:fr,bord,surface_seed
concept:center,antonym_surface:fr,périphérie,surface_seed
concept:center,antonym_surface:es,borde,surface_seed
concept:center,antonym_surface:es,periferia,surface_seed
concept:boundary,antonym_surface:pl,centrum,surface_seed
concept:boundary,antonym_surface:pl,ciągłość,surface_seed
concept:boundary,antonym_surface:en,center,surface_seed
concept:boundary,antonym_surface:en,continuity,surface_seed
concept:boundary,antonym_surface:de,Zentrum,surface_seed
concept:boundary,antonym_surface:de,Kontinuität,surface_seed
concept:boundary,antonym_surface:fr,centre,surface_seed
concept:boundary,antonym_surface:fr,continuité,surface_seed
concept:boundary,antonym_surface:es,centro,surface_seed
concept:boundary,antonym_surface:es,continuidad,surface_seed
concept:self,antonym_surface:pl,inny,surface_seed
concept:self,antonym_surface:pl,obcy,surface_seed
concept:self,antonym_surface:en,other,surface_seed
concept:self,antonym_surface:en,stranger,surface_seed
concept:self,antonym_surface:de,Andere,surface_seed
concept:self,antonym_surface:de,Fremde,surface_seed
concept:self,antonym_surface:fr,autre,surface_seed
concept:self,antonym_surface:fr,étranger,surface_seed
concept:self,antonym_surface:es,otro,surface_seed
concept:self,antonym_surface:es,extraño,surface_seed
concept:other,antonym_surface:pl,ja,surface_seed
concept:other,antonym_surface:pl,swoje,surface_seed
concept:other,antonym_surface:en,self,surface_seed
concept:other,antonym_surface:en,same,surface_seed
concept:other,antonym_surface:de,Selbst,surface_seed
concept:other,antonym_surface:de,Gleiches,surface_seed
concept:other,antonym_surface:fr,soi,surface_seed
concept:other,antonym_surface:fr,même,surface_seed
concept:other,antonym_surface:es,yo,surface_seed
concept:other,antonym_surface:es,mismo,surface_seed
concept:relation,antonym_surface:pl,separacja,surface_seed
concept:relation,antonym_surface:pl,izolacja,surface_seed
concept:relation,antonym_surface:en,separation,surface_seed
concept:relation,antonym_surface:en,isolation,surface_seed
concept:relation,antonym_surface:de,Trennung,surface_seed
concept:relation,antonym_surface:de,Isolation,surface_seed
concept:relation,antonym_surface:fr,séparation,surface_seed
concept:relation,antonym_surface:fr,isolement,surface_seed
concept:relation,antonym_surface:es,separación,surface_seed
concept:relation,antonym_surface:es,aislamiento,surface_seed
concept:memory,antonym_surface:pl,zapomnienie,surface_seed
concept:memory,antonym_surface:pl,amnezja,surface_seed
concept:memory,antonym_surface:en,forgetting,surface_seed
concept:memory,antonym_surface:en,amnesia,surface_seed
concept:memory,antonym_surface:de,Vergessen,surface_seed
concept:memory,antonym_surface:de,Amnesie,surface_seed
concept:memory,antonym_surface:fr,oubli,surface_seed
concept:memory,antonym_surface:fr,amnésie,surface_seed
concept:memory,antonym_surface:es,olvido,surface_seed
concept:memory,antonym_surface:es,amnesia,surface_seed
concept:love,antonym_surface:pl,nienawiść,surface_seed
concept:love,antonym_surface:pl,obojętność,surface_seed
concept:love,antonym_surface:en,hate,surface_seed
concept:love,antonym_surface:en,indifference,surface_seed
concept:love,antonym_surface:de,Hass,surface_seed
concept:love,antonym_surface:de,Gleichgültigkeit,surface_seed
concept:love,antonym_surface:fr,haine,surface_seed
concept:love,antonym_surface:fr,indifférence,surface_seed
concept:love,antonym_surface:es,odio,surface_seed
concept:love,antonym_surface:es,indiferencia,surface_seed
concept:fear,antonym_surface:pl,odwaga,surface_seed
concept:fear,antonym_surface:pl,zaufanie,surface_seed
concept:fear,antonym_surface:en,courage,surface_seed
concept:fear,antonym_surface:en,trust,surface_seed
concept:fear,antonym_surface:de,Mut,surface_seed
concept:fear,antonym_surface:de,Vertrauen,surface_seed
concept:fear,antonym_surface:fr,courage,surface_seed
concept:fear,antonym_surface:fr,confiance,surface_seed
concept:fear,antonym_surface:es,valor,surface_seed
concept:fear,antonym_surface:es,confianza,surface_seed
concept:trust,antonym_surface:pl,nieufność,surface_seed
concept:trust,antonym_surface:pl,podejrzenie,surface_seed
concept:trust,antonym_surface:en,distrust,surface_seed
concept:trust,antonym_surface:en,suspicion,surface_seed
concept:trust,antonym_surface:de,Misstrauen,surface_seed
concept:trust,antonym_surface:de,Verdacht,surface_seed
concept:trust,antonym_surface:fr,méfiance,surface_seed
concept:trust,antonym_surface:fr,soupçon,surface_seed
concept:trust,antonym_surface:es,desconfianza,surface_seed
concept:trust,antonym_surface:es,sospecha,surface_seed
concept:pain,antonym_surface:pl,ulga,surface_seed
concept:pain,antonym_surface:pl,przyjemność,surface_seed
concept:pain,antonym_surface:en,relief,surface_seed
concept:pain,antonym_surface:en,pleasure,surface_seed
concept:pain,antonym_surface:de,Erleichterung,surface_seed
concept:pain,antonym_surface:de,Freude,surface_seed
concept:pain,antonym_surface:fr,soulagement,surface_seed
concept:pain,antonym_surface:fr,plaisir,surface_seed
concept:pain,antonym_surface:es,alivio,surface_seed
concept:pain,antonym_surface:es,placer,surface_seed
concept:knowledge,antonym_surface:pl,niewiedza,surface_seed
concept:knowledge,antonym_surface:pl,błąd,surface_seed
concept:knowledge,antonym_surface:en,ignorance,surface_seed
concept:knowledge,antonym_surface:en,error,surface_seed
concept:knowledge,antonym_surface:de,Unwissen,surface_seed
concept:knowledge,antonym_surface:de,Fehler,surface_seed
concept:knowledge,antonym_surface:fr,ignorance,surface_seed
concept:knowledge,antonym_surface:fr,erreur,surface_seed
concept:knowledge,antonym_surface:es,ignorancia,surface_seed
concept:knowledge,antonym_surface:es,error,surface_seed
concept:error,antonym_surface:pl,poprawność,surface_seed
concept:error,antonym_surface:pl,prawda,surface_seed
concept:error,antonym_surface:en,correctness,surface_seed
concept:error,antonym_surface:en,truth,surface_seed
concept:error,antonym_surface:de,Richtigkeit,surface_seed
concept:error,antonym_surface:de,Wahrheit,surface_seed
concept:error,antonym_surface:fr,exactitude,surface_seed
concept:error,antonym_surface:fr,vérité,surface_seed
concept:error,antonym_surface:es,corrección,surface_seed
concept:error,antonym_surface:es,verdad,surface_seed
